title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Parking type options,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11
CO,1,"****HAIR IN FOOD*******

Came to eat here After sending some stuff in the mail for my job
Was super hungry I ordered the crispy tuna of the small plates figuring it would come out first and the spicy garden bowl

I was excited when the crispy tuna came out only to be crust with disappointment and discussed to find a hair in my food.

Let my server know I sat next to the bar she was bartending all was well. She was a good waitress. Until I saw my bill after I paid and she charged me for the spicy tuna, she got me a new one, but I had to wait until my bowl came out to eat. I worked in the restaurant industry for several years and I would not let a Guest pay for something that they had to wait extra long for because they found a hair in their food…",2024-04-18T20:53:15.399Z,0,,3,FALSE,,,5 days ago,,Lunch,,,$30–50,,,5,1,4,ChZDSUhNMG9nS0VJQ0FnSUNqbk9mUUFnEAE,,,,,Google,,108990877564006761341,,,,,,,,,,,
CO,1,wouldn’t sit us down when half the restaurant was open trying to tell us it would be 40 minutes,2024-04-16T22:19:39.823Z,0,,1,FALSE,,,a week ago,,,,,,,,3,5,1,ChZDSUhNMG9nS0VJQ0FnSUNqMEl6NGJ3EAE,,,,,Google,,106468270348010770451,,,,,,,,,,,
CO,3,"Atmosphere: 5
Food: 4
Service: 2.5

I was looking for a place to take my boyfriend for a celebration dinner, and this place had such a cool vibe on the pictures online and we love Asian food. The location is at a strip mall, so there's plenty of parking, and I promise the inside looks nicer than the outside. The inside is cool and modern, and the pictures of the lady on the wall look like my mom when she younger lol.

We came on a Wednesday evening and there was plenty of seating indoor, and at the bar, but we opted for outdoor seating since it was so nice out. I also saw a sign for a great happy hour deal, so I'll have to come back one day.

Let's start with the food. We ordered the Golden roll, and the pork belly buns, and both were delicious! For my entree, I had a Thai noodle dish that was extremely flavorful, while my boyfriend got the Korean rice bowl, which was not bad but not quite to the standard of the other dishes in our opinion.

Our service was not fantastic and was the only downside of our meal. Although our server was ok, she was a little crass and borderline curt, something that I would expect from a local dive bar, but not a nicer place like this. At first I chalked it up to her being young and similar in age to us so she might have been more informal to be relatable, but at the end when we asked for the check, I wasn't sure if I had finished my meal enough to need a box. She said that she was either bring a box now or not coming back, which I thought was a little rude and out of nowhere. Of course she never came back to check on us after that either even though we were still dining for another 20 minutes. It was just a sour way to end an otherwise nice dinner for a special occasion.

I was also shocked and a little offended to see a 30% tip option. Tipping has gone out of control and the guilt of selecting a more reasonable tip amount puts customers in an uncomfortable place, especially when the service was not great.

I'd love to come back to try more of the menu because we had a nice experience in terms of the food and atmosphere, but I would hope to have a different server if I were to come back.",2024-04-16T02:12:33.521Z,0,,29,TRUE,,,a week ago,,,,,,,,5,4,3,ChZDSUhNMG9nS0VJQ0FnSURENzRuTkFREAE,,,,,Google,,110270552234392068426,,,,,,,,,,,
CO,5,,2024-03-27T00:40:39.589Z,0,,2,FALSE,,,4 weeks ago,,Dinner,,,$30–50,,Dine in,,,,ChdDSUhNMG9nS0VJQ0FnSUNENnVxcHpRRRAB,,,,,Google,,118314787089211745191,,,,,,,,,,,
CO,5,Great food and they have a full vegan menu. So tasty and filling! Please go try it!,2024-03-04T00:47:44.304Z,1,,142,TRUE,,,a month ago,,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUM5N0tuTThRRRAB,https://lh5.googleusercontent.com/p/AF1QipP2snphaA9h8lR4PMsXTrwvWiQXT3_XJMkHcycu=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOgfYUWu3SZ2EMFWGa4y2j4OMMR1W3MX_Jp4Goi=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMWppDQ_5I8_II_x6ddZXPMmCvTTuyWz_1cYF9I=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPwNEUniYgWoIhVkfGT4Ulj6DB8yYFcBqXCdCqH=w150-h150-k-no-p,Google,,108038202530168221755,,,,https://lh5.googleusercontent.com/p/AF1QipPyFJEdKcBN0NI41118_m5903DtOFqc-uvJBSQg=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNrfmE84XRE8nY4ibCfIHFX3TT7TGEgw8U7z2Pr=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNb8KXH4bEVnOVygcZBhMvgSnhJAT8EGEEb02vL=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM6gb1FKwCJCm8wIsvMVfCH8vl1rUbQOS5T8Lti=w150-h150-k-no-p,,,,
CO,3,"I wasn't too impressed with the bahn mi, The bread was not crispy like most the reviews say. Pretty chewy consistency overall, bread goes a long way for a good bahn mi.  Caramelized Pork really didn't seem that caramelized. For the price point, I probably wouldn't recommend it.",2024-03-02T17:50:22.477Z,0,,7,FALSE,,,a month ago,,,,,$10–20,,Take out,,3,,ChdDSUhNMG9nS0VJQ0FnSUM5bE5uUm9nRRAB,https://lh5.googleusercontent.com/p/AF1QipNXUwIY6v_BX1ldfXf6yUHG2oEu0mVAfV3k9Xsb=w150-h150-k-no-p,,,,Google,,111532104091191222540,,,,,,,,,,,
CO,4,Really great food. Beautiful restaurant.  Bartender could have cared less. Asked about specials and he didn't tell me about 1/2 sushi. I spend alot of $ anyways and always tip at least 20%.  I will let him know when I go back.,2024-02-28T19:08:24.882Z,0,,56,TRUE,,,a month ago,,Dinner,,,$50–100,,Dine in,5,5,2,ChZDSUhNMG9nS0VJQ0FnSURkNzV1N2RnEAE,,,,,Google,,107318073981793850150,,,,,,,,,,,
CO,1,Not worth the wait 45+ minutes for 3 rolls,2024-02-24T23:24:05.196Z,0,,9,FALSE,,,a month ago,,Dinner,,,,,Take out,1,2,1,ChZDSUhNMG9nS0VJQ0FnSURkNmN6VGJnEAE,,,,,Google,,112050766482370208660,,,,,,,,,,,
CO,1,Got a green Thai curry to go from this location. In total I paid $22 for trash quality. Non of the veggies were cook just left raw. The rice was was crunchy and left I uncooked. It was also missing some veggies.,2024-02-21T00:35:12.886Z,0,,1,FALSE,,,2 months ago,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURkaEszc3hnRRAB,,,,,Google,,107609996470737463777,,,,,,,,,,,
CO,5,,2024-02-04T10:55:42.338Z,0,,16,TRUE,,,2 months ago,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUR0MXJtVGl3RRAB,,,,,Google,,106001975456726216970,,,,,,,,,,,
